Line Item Details/Line Item ID,Identity Details/Customer Name,Identity Details/Resource Purchase Account ID,Identity Details/Resource Purchase Account,Identity Details/Resource Owner Account ID,Identity Details/Resource Owner Account,Billing Details/Service Entity,Billing Details/Billing Month,Billing Details/Line Item Type,Billing Details/Consume Type,Product Details/Product Code,Product Details/Product Name,Product Details/Commodity Code,Product Details/Commodity Name,Product Details/Billing Item Code,Product Details/Billing Item Name,Product Details/Purchase Configuration,Product Details/Instance Type,Resource Details/Resource ID,Resource Details/Instance ID,Resource Details/Resource Name,Resource Details/Region Code,Resource Details/Region,Duration Details/Charge Duration,Duration Details/Charge Duration Unit,Usage Details/Usage,Usage Details/Usage Unit,Pricing Details/List Price,Pricing Details/List Price Unit,Pricing Details/Currency,Fee Details/Gross Amount,Fee Details/Billing Formula,Prepaid Purchase Offset Details/Prepaid Purchase Offset from Total List Price,Prepaid Purchase Offset Details/Amount After Prepaid Purchase Offset,Prepaid Purchase Offset Details/Prepaid Purchase Offset Amount,Discount Details/Discount Amount,Discount Details/Amount After Price Reduction,Coupon Deduction Details/Coupon Deduction Amount,Payable Details/Tax-exclusive Payable Amount
12dffcaaaf2ec916b5ac458254ae0e64,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Subscription Prepaid Fee,Purchase,YUNMARKET_THIRD_PARTY,Third-Party Services in Marketplace,sgcmgj00036196,sgcmgj00036196,package_version,package_version,"[{""name"":""package_version"",""value"":""yuncode3019600001""}]",,,5000003360156	,,-,-,,,,,0,,USD,0,,,,,0,0,0,0
36def7f4d5c95bd9f11cf5c96cad7975,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,apigateway,API Gateway,apigateway_intl,API Gateway,Requests,Requests,"[{""name"":""Requests"",""value"":""[010 Thousand Times, 10010 Thousand Times]""}]",,6c36308c429445ebb9c78aa73a3afd9b,6c36308c429445ebb9c78aa73a3afd9b,,ap-southeast-1,Singapore,,,0.1225,10 Thousand Times,0,USD/10K Times,USD,0,List Price*Usage,,,,0,0,0,0
4da85104c956f38d4f0a6ba6281aa8e1,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Rounded-down Fee,Round-off Discount,apigateway,API Gateway,apigateway_intl,API Gateway,ResponseSize,ResponseSize,,,6c36308c429445ebb9c78aa73a3afd9b,6c36308c429445ebb9c78aa73a3afd9b,,ap-southeast-1,Singapore,,,,,,,USD,0,,,,,0,0,0,-0.000029484
f50fff3273f608c3be47e6c14749c5b4,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,apigateway,API Gateway,apigateway_intl,API Gateway,ResponseSize,ResponseSize,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Outbound Traffic"",""value"":""[0GB, 99999999999999GB]""}]",,6c36308c429445ebb9c78aa73a3afd9b,6c36308c429445ebb9c78aa73a3afd9b,,ap-southeast-1,Singapore,,,0.000252,GB,0.117,USD/GB,USD,0.000029484,List Price*Usage,,,,0,0.000029484,0,0.000029484
3bdfb8e0d849ad0ccd1c5718362cd234,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,arms,Application Real-Time Monitoring Service,arms_app_post_intl,ARMS Application Monitoring,agenthour,Agent Hours,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""agenthour"",""value"":""[0Agent*Hour, 99999999Agent*Hour]""}]",,1kgrml1tn6z@d799260d30a87e1,5734660326444971;ap-southeast-1;1kgrml1tn6z@d799260d30a87e1;XAdmin-POS-PRD-XOAP02,,ap-southeast-1,Singapore,,,1534,Agent*Hour,0.0579555055,USD/(Agent*hours),USD,88.903745437,List Price*Usage,,,,0,88.903745437,0,88.903745437
e1f8b18d34d724966fcd153b41dec9bb,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Rounded-down Fee,Round-off Discount,arms,Application Real-Time Monitoring Service,arms_app_post_intl,ARMS Application Monitoring,agenthour,Agent Hours,,,1kgrml1tn6z@d799260d30a87e1,5734660326444971;ap-southeast-1;1kgrml1tn6z@d799260d30a87e1;XAdmin-POS-PRD-XOAP02,,ap-southeast-1,Singapore,,,,,,,USD,0,,,,,0,0,0,-0.003745437
451882d4331a61e17392da7d89ce0f4e,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Tax,Tax,cas,Certificate Management Service (Original SSL Certificate),cas_ssl_public_intl,Certificate value-added service,,,,,,,,-,-,,,,,,,USD,0,,,,,,0,,0
bc394181ffa65d92d50450a8848859b5,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Subscription Prepaid Fee,Purchase,cas,Certificate Management Service (Original SSL Certificate),cas_ssl_public_intl,Certificate value-added service,product,Service fee,"[{""name"":""Service type"",""value"":""auto-managed service""}]",,,cas_ssl_public_intl-sg-bvv4w492702,,-,-,,,,,40,USD,USD,40,,,,,0,40,0,40
5f33fa6eb98f1387dc6d96a7f9197548,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cbs,Database Backup,cbs_post_intl,Database Backup（Pay-As-You-Go）,NetworkOutDuplicationSize,DBS Outbount Network,"[{""name"":""Database Region"",""value"":""Singapore""},{""name"":""Dump Type"",""value"":""General-purpose""},{""name"":""Storage Region"",""value"":""Malaysia (Kuala Lumpur)""},{""name"":""Cross-region Backup Traffic"",""value"":""[0GB, 99999999GB]""}]",,,dbst4q6j9lg3c51,,ap-southeast-3,Malaysia (Kuala Lumpur),,,40.030337,GB,0.08,USD/GB,USD,3.20242696,List Price*Usage,,,,0,3.20242696,0,3.20242696
824a4b31fc03a44eb644f6649a1567c1,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Rounded-down Fee,Round-off Discount,cbs,Database Backup,cbs_post_intl,Database Backup（Pay-As-You-Go）,NetworkOutDuplicationSize,DBS Outbount Network,,,,dbst4q6j9lg3c51,,ap-southeast-3,Malaysia (Kuala Lumpur),,,,,,,USD,0,,,,,0,0,0,-0.00242696
40f837bbebf1c7f4778485becff22459,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Subscription Prepaid Fee,Renew,cbs,Database Backup,cbspre_intl,Backup Schedules,spec,Specification,"[{""name"":""Region for Backup Instance"",""value"":""Singapore""},{""name"":""Data Source Type"",""value"":""Oracle""},{""name"":""Specification"",""value"":""medium""}]",,,dbsrh5ja6vbj145,,ap-southeast-1,Singapore,,,,,53,USD/Month,USD,53,,,,,0,53,0,53
